task,solution,link,long_solution
Жители средневековой Европы иногда привязывали к подошвам деревянные чурки. С какой целью они это делали?,"Для защиты от грязи, т.к. канализации не было и помои выливали прямо на улицу",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Первое: чтобы подошва обуви быстро не стиралась - обувь делалась вручную, стоила дорого, то есть - из лучших побуждений экономии. 
Второе: В городах средневековой Европы было очень грязно, была помойка и свалка. Так вот - чтобы ходить по этим помоям, и не так промокала обувь - и привязывали дерево, ведь подошва была из кожи (коровьей или еще какой-то зверушки, то есть промокала быстро) . Резины и поливинилуретана тогда еще не изобрели. Да и по простым проселочным дорогам тоже особо не походишь, да и теплее, когда между стопой не тонкая полоска ткани и кожи, а еще и дерево. 
Третье: можно было казаться выше, чем ты есть на самом деле. Но это для модников и пижонов тех лет. "
"В каком процессе вода заменила солнце, через 600 лет ее заменил песок, а еще через 1100 лет всех их заменил механизм?",В процессе измерения времени – часах,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Это процесс отсчета времени. Первыми часами были солнечные - время отмерялось по движению тени от вертикального объекта. Потом появились водяные часы - клепсидры, где время отмерялось текущей водой. По такому же принципу работают и песочные часы, только вместо воды в них используется песок. Прошли века, и появились механические хронометры. А сейчас наряду с механическими широко используются электронные часы."
"В прежние времена амбары строили на отшибе, подальше от жилищ. С какой целью?",Чтобы пожар не уничтожил запасы продовольствия,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"В деревнях нередко случались пожары. Для того, чтобы уберечь урожай зерна, амбары строили подальше от жилых домов."
"При Петре I на гербе Российской империи был изображён орёл, держащий в лапах карты четырёх морей. Перечислите их.","Белое, Каспийское, Азовское, Балтийское",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Белое, Каспийское, Азовское, Балтийское"
Название какого германского племени дало имя целой европейской стране?,Германское племя франков дало имя Франции,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Название германского племени ""германцы"" или ""германы"" послужило основой для названия страны Германия (на немецком - ""Deutschland""). Это название произошло от латинского термина ""Germania"", которым римляне обозначали территории, населенные этими племенами."
Почему в дикой природе белые медведи не едят пингвинов?,"Белые медведи живут на Северном полюсе, а пингвины — на Южном.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Белые медведи и пингвины обитают в разных частях света и не встречаются в дикой природе в одном и том же биоме. Белые медведи обитают в арктических регионах Северного полюса и прибрежных районах Северного Ледовитого океана, в то время как пингвины, в основном, обитают в Антарктике и других антарктических регионах, а также на некоторых островах вокруг Антарктического полуострова. 

Из-за этой географической разницы белым медведям и пингвинам очень мало шансов когда-либо столкнуться друг с другом в дикой природе. Кроме того, их экологические роли и диеты различаются: белые медведи являются хищниками и питаются преимущественно морскими млекопитающими, а пингвины - это птицы, которые питаются рыбой и креветками.

Таким образом, в природе белым медведям и пингвинам нет причин конкурировать за пищу, и, следовательно, нет необходимости в том, чтобы белые медведи охотились на пингвинов."
"Не желая признавать, что Красная армия могла нанести им поражение, немцы утверждали, что Великую Отечественную войну выиграли генерал Мороз, генерал Грязь и генерал Мышь. По поводу мороза и грязи все понятно. А вот при чем тут мышь?",Мыши перегрызали электропроводку немецких танков,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"В анекдотической интерпретации и через юмор немцы использовали выражение ""генерал Мышь"" для объяснения своих поражений и неудач во Второй мировой войне, включая Великую Отечественную войну, ссылаясь на различные природные факторы и обстоятельства, которые могли повлиять на исход войны.

Термин ""генерал Мышь"" играет на стереотипах о неконтролируемых обстоятельствах и случайных событиях. Мышь, как животное, трудно поддается контролю и предсказанию, и, следовательно, нельзя предугадать ее действия. Таким образом, немцы могли использовать этот термин, чтобы отметить, что они считали свои поражения случайными или не зависящими от них обстоятельствами.

Это выражение не имеет серьезного исторического значения и используется в контексте юмора и анекдотов, чтобы обратить внимание на необъективные и нелепые объяснения поражений."
"Назовите пять дней, не называя чисел (1, 2, 3,..) и названий дней (понедельник, вторник, среда…)","Позавчера, вчера, сегодня, завтра, послезавтра",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"В русском языке, мы можем обозначать дни с помощью относительных предлогов ""поза"" и специльных терминов по типу ""вчера"", ""завтра"". Поэтому на этот вопрос можно ответить разными способами:
1. Позавчера, вчера, сегодня, завтра, послезавтра
2. Позапозавчера, позавчера, вчера, сегодня, завтра и тд."
У тридцати двух воинов один командир.,Зубы и язык,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Число 32 может быть константой, для различных физических явлений. К примеру здоровый человек обычно имеет 32 зуба, в контексте данного вопроса они будут являтся войнами. А так как в полости рта, не так много органов, кроме зубов остается только предположить, что командир это язык."
"Двенадцать братьев
Друг за другом бродят,
Друг друга не обходят.",Месяцы,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Так как хождение 12 друг за другом братьев не является стандартным поведением для человека и в среднем семья человека состоит из 3-4 человек, то под братьями понимается какое-то неодушевленное понятие. Также идет речь о строгом порядке, который данные элементы не должны нарушать, такое часто встречается в правилах и условностях, созданных человеком. Так как таких элементов всего 12, то скорее всего речь идет о месяцах, так как они идут строго друг за другом."
Как правильно говорить: «не вижу белый желток» или «не вижу белого желтка»?,Желток обычно жёлтый,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"С точки зрения грамматических и синтаксических норм русского языка, правильно говорить ""не вижу белого желтка"". Но с точки зрения строения обыкновенного куриного яйца, желток имеет не белый цвет, а желтый. Поэтому он и называется желток, от слова желтый. "
"Можно ли зажечь обычную спичку под водой, чтобы она догорела до конца?","Да, в подводной лодке",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Если речь идет о обычной деревянной спичке с серой, которую можно найти в ближайшем магазине за несколько рублей, то прямое помещение ее под воду моментально потушит ее. Для горения спичке необходим кислород. Поэтому мы можем поместить спичку в банку с воздухом и привязать к банке груз, чтобы погрузить данную конструкцию под воду. Формально, спичка будет гореть под водой, находясь при этом в банке."
Когда черной кошке лучше всего пробраться в дом?,Когда дверь открыта,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Традиционно считается, что черные кошки являются символом несчастья или суеверия в некоторых культурах. Однако в реальности цвет меха кошки не влияет на ее способности или характер.

Черные кошки, как и кошки других цветов, могут пробираться в дом в любое время, когда им разрешают это делать. Это зависит от предпочтений и правил владельцев дома, а также от того, является ли кошка домашней или бездомной.

Если у вас есть черная кошка и вы заботитесь о ней, то вы всегда можете позволить ей пробираться в дом, когда вам угодно, и заботиться о ней как о члене семьи. Нет никаких специальных времен или обстоятельств, когда это лучше делать, за исключением вашего собственного распоряжения."
"Шли два отца и два сына, нашли три апельсина. Стали делить — всем по одному досталось. Как это могло быть?","Это были дед, отец и сын",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"На первый взгляд может показаться что 2 отца и 2 сына в сумме дают нам 4 человека. Имея при это 3 апельсина, мы никак не можем поделить между ними их, не разрезая и не разламывая их на дольки. Однако эта компания могла состоять из юноши, мужчины и старика. Тогда юноша был бы сыном для мужчины, а мужчина был бы сыном для старика. В обратную сторону старик был бы отцом для мужчины, а мужчина был бы отцом для юноши. В итоге мы имеем 3 человека и апельсина, при таких условиях можно разделить все поровну."
Из какой посуды нельзя ничего поесть?,Из пустой,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Посуда это специальное место куда люди кладут пищу, для того чтобы в дальнейшем ее употребить. Однако если нечего употреблять в пищу, то и поесть ничего нельзя. Поэтому из любой пустой посуды нельзя поесть."
"Маленький, серенький на слона похож. Кто это?",Слонёнок,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Изходя из контекста сложно понять о чем идет речь, это может быть оптическое явление, камень, может быть скульптура и тд. Но также это может быть и детеныш слона, слоненок. Так как он подходит по это описание."
Какой рукой лучше размешивать чай?,"Той, в которой ложка",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Вы можете размешивать чай любой рукой, все зависит от ваших предпочтений. Однако если понимать вопрос буквально, то рукой не стоит размешить чай, так как вы можете получить ожоги, чай стоит размешить ложкой. Однако это больше игра слов и мы понимаем что подразумевается ложка. Например когда нас спрашивают какой рукой мы пишем, мы не думаем о том, что мы пишем именно пальцами, а скорее спрашивают о том в какой руке мы держим специальный инструмент для письма, чтобы совершать данное действие."
Когда человек бывает в комнате без головы?,"Когда высунет её из комнаты (например, в окно).",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Когда человек высовывает голову в окно, он перестает находиться целиком в этой комнате. Поэтому в какой-то степени можно сказать о том что человек находится в комнате без головы. Однако скорее всего без дополнительных объяснений такой логики другим людям, они могут посчитать вас странным."
На какой вопрос нельзя ответить “да”?,Ты спишь?,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"На многие вопросы в нашей жизни нельзя ответить однозначно да или нет. Но скорее всего в этом вопросе идет речь о физической неспособности ответить на какой-то вопрос. Если человек не страдает лунатизмом или другими нарушениями сна, то обычно во сне люди не способны произности какие либо слова, следовательно они и не способны ответить на вопрос ""Ты спишь?"", так как ответ на данный вопрос означает, что человек бодрствует."
На какой вопрос нельзя ответить “нет”?,Ты жив?,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"На многие вопросы в нашей жизни нельзя ответить однозначно да или нет. Но скорее всего в этом вопросе идет речь о физической неспособности ответить на какой-то вопрос. Одним из таких вопросов может быть ""Ты жив?"", так как мертвые не разговаривают. Однако некоторые люди, могут всё-таки ответить на данный вопрос ""нет"", подразумевая сильную усталость или недовольство своей жизнью."
Когда сеть может вытянуть воду?,Когда вода замёрзнет и превратится в лёд.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Рыболовная сеть это такое устройство, которое создано чтобы захватывать крупные объекты. За счет того что она пропускает воду, но не пропускает более крупные объекты, по типу как ветки, рыба или мусор. Она используется в большей степени для того чтобы ловить рыбу. Однако чтобы сеть смогла захватить воду, вода тоже должна стать твердым объектом. Вода имеет свойство замерзать при понижении температуры, соответсвенно когда вода превратится в лед она станет твердым объектом и сеть сможет ее захватить."
"Смелый как …,
коварная как …,
трусливый как …,
хитрый как …,
злой как …,
голодный как …,
трудолюбивый как …,
верный как …,
упрямый как …,
бестолковый как …,
тихий как …,
вольный как .…","Лев, змея, заяц, лиса, собака, волк, муравей, пёс, осёл, баран, мышь, птица",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Лев, змея, заяц, лиса, собака, волк, муравей, пёс, осёл, баран, мышь, птица"
Чем оканчиваются день и ночь?,Мягким знаком,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"День и ночь это совершенно 2 разных физических явления, поэтому с этой точки зрения очень сложно найти у них что-то общее. Однако если посмотреть на данные объекты с точки зрения русского языка, мы можем заметить что каждое из этих слов оканчивается мягким знаком."
"Сорока летит, а собака на хвосте сидит. Может ли это быть?","Да, собака сидит на собственном хвосте, рядом сорока летает",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Сорока сравнительно небольшое животное, в отличие от собаки. Средняя сорока не способна унести собаку на своем хвосте. Поэтому речь идет хвосте собаки, а не сороки. Поэтому действительно такое событие вполне может быть."
"Что надо сделать, чтобы пять парней остались в одном сапоге?",Каждому из них снять по сапогу,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Сколько будет 2+2*2?,Шесть,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В каком месяце болтливая Светочка говорит меньше всего?,В феврале – самом коротком месяце,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что принадлежит вам, однако другие им пользуются чаще, чем вы?",Ваше имя,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Как найти прошлогодний снег?,Выйти на улицу сразу после начала нового года.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какое слово всегда звучит неверно?,Неверно,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У человека — одно, у коровы — два, у ястреба – ни одного. Что это?",Буква О,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Сидит человек, но вы не можете сесть на его место, даже если он встанет и уйдёт. Где он сидит?",На Ваших коленях,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Каких камней в море нет?,Сухих,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Какой знак нужно поставить между 4‑мя и 5‑ю, чтобы результат оказался больше 4‑х и меньше 5‑ти?",Запятую,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Может ли петух назвать себя птицей?,"Нет, т.к. он не умеет говорить.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какой болезнью на земле никто не болел?,Морской,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Можно ли предсказать счёт любого матча до его начала?,"Да, 0 – 0",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что можно приготовить, но нельзя съесть?",Уроки,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Какая цифра уменьшится на треть, если её перевернуть?",Цифра 9,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
У квадратного стола отпилили один угол по прямой линии . Сколько теперь углов у стола?,Пять.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какой узел нельзя развязать?,Железнодорожный,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что у коровы впереди, а у быка позади?",Буква К,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какая река самая страшная?,Тигр,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что не имеет длины, глубины, ширины, высоты, а можно измерить?","Температуру, время",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Что все люди на земле делают одновременно?,Становятся старше,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Два человека играли в шашки. Каждый сыграл по пять партий и выиграл по пять раз. Это возможно?,Оба человека играли разные партии с другими людьми.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Как может брошенное яйцо пролететь три метра и не разбиться?,"Нужно бросить яйцо более, чем на три метра, тогда первые три метра оно пролетит целым.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Мужчина вел большой грузовик. Фары на машине не были зажжены. Луны тоже не было. Женщина стала переходить дорогу перед машиной. Как удалось водителю разглядеть ее?,Был яркий солнечный день.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Где край света?,"Там, где кончается тень.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Человек научился у пауков строить подвесные мосты, у кошек перенял диафрагму в фотоаппарате и светоотражающие дорожные знаки. А какое изобретение появилось благодаря змеям?",Шприц.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что с земли легко поднимешь, но далеко не закинешь?",Тополиный пух.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Каким гребнем голову не расчешешь?,Петушиным.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что бросают, когда нуждаются в этом, и поднимают, когда в этом нет нужды?",Якорь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что может путешествовать по свету, оставаясь в одном и том же углу?",Почтовая марка.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Вы сидите в самолёте, впереди вас лошадь, сзади автомобиль. Где Вы находитесь?",На карусели,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какими нотами можно измерить расстояние?,Ми-Ля-Ми.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Что не войдёт в самую большую кастрюлю?,Её крышка.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Деревянная река, деревянный катерок, а над катером струится деревянный дымок. Что это?",Рубанок.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Один оборот вокруг Земли спутник делает за 1 час 40 минут, а другой за 100 минут. Как такое может быть?",Один час сорок минут равны ста минутам.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Назовите хотя бы трёх животных, которых Моисей взял в свой ковчег?","Пророк Моисей не брал животных в ковчег, это делал праведный Ной.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В одной руке мальчик нёс один килограмм железа, а в другой столько же пуха. Что было тяжелее нести?",Одинаково.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В 1711 году в каждом полку русской армии появилось новое подразделение численностью в 9 человек. Что это за подразделение?,Полковой оркестр.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"На первом месте чайки, далее – чибисы, скворцы, голуби. Все они являются главными виновниками… Каких трагедий?",Авиакатастроф.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Известна история о маленьком мальчике, который, получив новогодний подарок, попросил маму: “Сними, пожалуйста, крышку. Я хочу подарок погладить”. Что же это за подарок?",Черепаха,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какие животные всегда спят с открытыми глазами?,Рыбы.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Известно, что в свое время под страхом смерти из Китая были вывезены яйца тутового шелкопряда. А какое животное было вывезено в 1888 г. с таким же риском из Афганистана?",Афганская борзая.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какие насекомые одомашнены человеком?,Пчёлы.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Крестьянину нужно перевезти через реку волка, козу и капусту. Но лодка такова, что в ней может поместиться только крестьянин, а с ним или один волк, или одна коза, или одна капуста. Но если оставить волка с козой, то волк съест козу, а если оставить козу с капустой, то коза съест капусту. Как перевез свой груз крестьянин?","Ясно, что приходится начать с козы. Крестьянин, перевезши козу, возвращается и берет волка, которого перевозит на другой берег, где его и оставляет, но зато берет и везет обратно на первый берег козу. Здесь он оставляет ее и перевозит к волку капусту. Вслед затем, возвратившись, он перевозит козу, и переправа оканчивается благополучно.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Крестьянину нужно перевезти через реку волка, козу и капусту. Но лодка такова, что в ней может поместиться только крестьянин, а с ним или один волк, или одна коза, или одна капуста. Но если оставить волка с козой, то волк съест козу, а если оставить козу с капустой, то коза съест капусту. Как перевез свой груз крестьянин?","Вначале крестьянин опять-таки перевозит козу. Но вторым можно взять капусту, отвезти ее на другой берег, оставить там и вернуть на первый берег козу. Затем перевезти на другой берег волка, вернуться за козой и снова отвести ее на другой берег.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В старину на Руси замужние женщины носили головной убор кокошник, название которого произошло от слова “кокошь”, означающий животное. Какое?","Курица (помните, что она произносит, когда несется?).",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
