prompt,solution,link
"Регион: [Россия](/regiony/rossiya) Если сотрудник работающий в магазине, при выкатывание мотоцикла его уронил, и мотоцикл получил повреждения (поломалась ручка тормоза и на боковом пластике царапины) обязан ли он купить повреждённый транспорт или возместить стоимость ремонта?","Если заключен договор материальной ответственности и вина в ущербе имеется и он действовал без указания начальства, то могу предъявить претензии",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/esli-sotrudnik-rabotayushchiy-v-magazine-pri-vykatyvanie
"Регион: [Россия](/regiony/rossiya) Здравствуйте! Ситуация: муж - жена купили автомобиль на потреебительский кредит. Затем пару раз брали новый кредит, чтобы закрыть имеющийся с допсуммой на другие нужды. Машина оформлена на жену и кредит тоже. Развелись, с момента как разошлись, муж говорит давай я буду выплачивать кредит а после закрытия переоформим на мужа. Какие права жены?",Супруги вправе поделить имущество в равных долях и также обязаны погашать кредит в равных долях,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-situaciya-muzh-zhena-kupili-avtomobil-na
"Регион: [Приморский край](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%BF%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%B8%D0%B9-%D0%BA%D1%80%D0%B0%D0%B9) Долг в магазине 10000 руб. Расписки и подписи моей нет, просто сумма написана на бумажке. Хозяин магазина сказал напишет заявление в полицию. Может ли он это сделать?","Написать может, но если вы будете отрицать, то доказать проблематично ему будет",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dolg-1
"Регион: [Россия](/regiony/rossiya) Здравствуйте. Не нашел подходящей темы для вопроса. Имеются некоторые проблемы с психикой, установлено, что диагноз у меня достаточно ""безобидный"", но появилась возможность получить в ПНД диагноз F21 (шизотипическое расстройство личности). Хотелось бы заиметь его, чтобы получить категорию годности Д. Но диагноз налагает ограничения на получение водительского удостоверения и прочие ограничения. Фактически диагноза у меня такого нет, но ввиду некомпетентности могу его получить нарочно. Вопрос в том, можно ли потом этот диагноз переосвидетельствовать, чтобы снять с себя все ограничения. Можно ли это сделать через суд, сославшись на некомпетентную постановку диагноза?","Возможно, но в любом случае нужно будет проходить судебную экспертизу и снятие диагноза может занять несколько месяцев",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/snyatie-oshibochnogo-diagnoza
"Регион: [Россия](/regiony/rossiya) при покупке оформил дом на родственницу знакомой (бабушку) . думал, проблем не будет. возникли проблемы и теперь отказываются продавать дом по моей просьбе. можно ли признать договор купли-продажи мнимой ? 
деньги были наличными, но за 2-3 дня я вытаскивал их с банкомата , т.е. происхождение денег могу доказать.","Только если вы докажите факт мошенничества  
Факт снятия денег за 2-3 дня ничего не доказывает",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/pri-pokupke-oformil-dom-na-rodstvennicu-znakomoy-babu
"Регион: [Россия](/regiony/rossiya) Я начала оплачивать 2 позиции на 900 р. Когда оплата прошла, я увидела, что с карты списалось 2500р. Я сразу же, написала в техподдержку и попросила отменить заказ, потому что в заказ включились позиции, которые я не планировала заказывать и оплачивать.

На что вайлдберис мне ответили:
""У нас нет функции Отмены заказа. Вы сможет отказаться от товаров только в пункте выдачи. При этом за каждую позицию мы удержим 150 р за доставку.""
Я им пишу, что товар еще не отправлен, отмените его до отправки и не взымайте у меня стоимость допоставки. Зачем Вы мне навязываете услугу доставки, которая мне не нужна? 
Они отказываются отменять заказ до отправки. И навязывают мне оплатить доставку. При этом если я откажусь от 7 позиций, то сумма доставки будет 7\*150 р - 1050р.
Разве это не мошенничество? Почему в Интернет-магазине я не могу отказаться от товара, до его доставки? Почему меня вынуждают купить доставку?
При этом я смотрела ответ Роспотребнадзора на похожий случай, и он просто удивителен:


""Мария
При заказе товара на сайте магазина Wildberries товар по ошибке добавился в корзину трижды. Кнопки отмены или редактирования заказа в личном кабинете не было, поэтому я сразу же написала в техподдержку через форму на сайте (произошло это через несколько минут после покупки). Получила ответ, что отмена заказа невозможна и единственный способ отказаться от него - это дождаться доставки и оформить возврат ненужных товаров, заплатив по 100 рублей за каждый. На сайте магазина указано, что плата за возврат взимается для покрытия транспортных расходов на обратную доставку. Однако в моем случае никакой доставки не было, заказ даже еще не начали собирать, т. е. мне навязали ее принудительно. На каком основании магазин не позволяет отменить заказ, который еще не поступил в работу, и навязывает его доставку и платную отмену? Правомерны ли действия магазина? Прилагаю один из скринов переписки с поддержкой.
ОТВЕТЫ

Добрый день! В связи с возросшим числом комментариев в социальных сетях о том, что некоторые потребители столкнулись с удержанием денежных средств за возврат некачественных товаров, Роспотребнадзор разъясняет: у потребителя есть право вернуть некачественный товар продавцу, в том числе через маркетплейс (который в терминологии Закона называется «владельцем агрегатора информации о товарах»). При возврате некачественного товара продавцы или маркетплейсы не могут взимать или удерживать денежные средства потребителей, поскольку именно на продавца законом возложена обязанность принять товар с недостатками и провести проверку качества, а также вернуть потребителю стоимость недоброкачественной вещи (если наличие недостатков подтвердилось). 30 января представители Wildberries подтвердили Роспотребнадзору, что в настоящее время компания ведет работу по автоматическому возврату денежных средств, списанных за обратную доставку бракованного товара. Отдельного обращения в службу поддержки не требуется, поскольку вся информация о заказах потребителей, по которым было подтверждено наличие брака, есть у торговой площадки. Жалобы обрабатываются в реальном времени, ответы по ним будут доведены до сведения заявителей. Указанная проблема могла возникнуть в связи с переходом компании на новый сервис возврата бракованных товаров. Представители Wildberries сообщили, что в целях повышения качества обслуживания в ближайшее время обращения по браку начнут обрабатываться продавцами самостоятельно. Поскольку компенсация потребителю стоимости обратной доставки в таких случаях будет осуществляться продавцом, это повысит их информированность о претензиях потребителей и заинтересованность в продаже более качественных товаров. Если покупатель будет не согласен с принятым продавцом решением, он сможет обжаловать его на портале. Также в компании сообщили, что программа ответственных покупок, запущенная в Wildberries с 2021 года, позволяет покупателям, которые возвращают мало вещей и имеют высокий процент выкупа, не оплачивать услугу обратной транспортировки качественных товаров, не подошедших по каким-либо причинам. Стандартная доставка товаров в большинство регионов осуществляется бесплатно. Учитывая повышенный интерес со стороны потребителей к изменениям привычных сервисов и уровня обслуживания, Роспотребнадзор в настоящее время уделяет повышенное внимание к ситуации с возвратом товаров и еще раз напоминает: 1. Возврат некачественных товаров не может сопровождаться требованием оплатить расходы на такой возврат (пункт 1 статьи 18 Закона «О защите прав потребителей»: по требованию продавца и за его счет потребитель должен возвратить товар с недостатками.). 2. Возврат качественных товаров (в течение 7 дней с момента передачи товара), приобретенных дистанционно, может сопровождаться взиманием платы (пункт 4 статьи 26.1 Закона «О защите прав потребителей»: при отказе потребителя от товара продавец должен возвратить ему денежную сумму, уплаченную потребителем по договору, за исключением расходов продавца на доставку от потребителя возвращенного товара, не позднее чем через десять дней со дня предъявления потребителем соответствующего требования). 3. Продавцы и маркетплейсы вправе только улучшить условия возврата товаров. 4. Любые попытки ухудшить положения потребителей пресекаются Роспотребнадзором в рамках установленных полномочий в строгом соответствии с законом. Ситуация остается на контроле Роспотребнадзора.

Разве законом можно навязывать услуги людям? Это какой-то рэкет. В какие инстанции я могу написать?","Вы вправе направить претензию и если ее не удовлетворят, то подать иск в суд",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/vopros-pro-vayldberis
"Регион: [Россия](/regiony/rossiya) Здравствуйте. Ситуация интересная произошла. Приставы передали, знакомым, что если я не буду выплачивать долг по кредиту, то отправят по контракту на сво. Подскажите, что за глупости они несут? И ещё через кого-то это передают. Такой указ существует вообще или это превышение полномочий? И куда можно обратиться за такие слова?","Такого указа нет, возможно вам не так передали слова пристава",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-situaciya-interesnaya-proizoshla-pristavy
"Регион: [Россия](/regiony/rossiya) Добрый день! Муж попал в ДТП, с Audi A5 2009г. При повороте налево не уступил дорогу. (было разбито стекло фары и погнуто крыло), на тот момент у мужа не было ОСАГО. Потерпевший был согласен на 150 000 чтобы не доводить дело до суда, муж согласился и пытался взять кредит, чтобы рассчитаться, но всеми банками было отказано. Пострадавший сделал экспертизу авто (ущерб был оценен в 290 000, муж присутствовал, но не давал письменного соглашения с оценкой ущерба). Муж предлагал сделать расписку об выплате 10000 в месяц, ибо больше возможностей выплатить ущерб не было, на что пострадавший отказался и подал в суд. Слушание будет только в конце июля, но мы знаем, что пострадавший уже продал автомобиль на 300000 дороже, чем его покупал. (покупал он его за 800 т., продал за 1 100 т) Пострадавший уверял, что у него все детали заводские, оригинальные, но после выяснилось, что автомобиль много раз попадал в дтп, и не факт, что та же фара или крыло (алюминиевое), является оригиналом. Подскажите, может ли суд посчитать это неосновательным обогащением со стороны истца? Каким образом возможно попытаться узнать, что фара и крыло, на самом деле могли стоить дешевле, если автомобиля уже нет? Заранее спасибо!","Он продал дороже, так как выросли цены на авто

Вы можете только оспаривать оценку, если цены завышенные",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/postradavshiy-v-dtp-prodal-avtomobil-dorozhe-chem-pokupal
"Регион: [Россия](/regiony/rossiya) Здравствуйте. 
В связи с санкциями от своего имени посредник с гражданством не РФ выложит на площадку Steam(интернет магазин с компьютерными играми) - мою игру, за что он получает 20-30% прибыли. Скажите, как это оформить с посредником, чтобы он не обманул? Какой именно нужно оформлять с ним договор? Подскажите форму. Оформлять потент времени нет. И встретиться в живую с посредником возможности нет.","Нужно подать заявку на патент, чтобы зафиксировать права. Договор оказания услуг, однако важно не название, а его содержание.

Договор мы можем проработать",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dogovor-s-posrednikom-na-inostrannuyu-ploshchadku-steam
"Регион: [Россия](/regiony/rossiya) У меня умерла мама и в доме остался слепой отец. Он инвалид 2 группы. Ко всему прочему он алкоголик. Я живу в другом городе. Предлагаю ему переехать в пансионат для пожилых и инвалидов, но он отказывается. Хочет жить в доме. На фоне алкоголизма у него была белая горячка. Есть ли возможность признать его не дееспособным и увезти в пансионат?",Вы можете подать иск о признании его недееспособны и в ходе судебного разбирательства будет проведена экспертиза и по ее итогам будет решено можно ли его признать недееспособным,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/u-menya-umerla-mama-i-v-dome-ostalsya-slepoy-otec-inva
"Регион: [Краснодарский край](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9-%D0%BA%D1%80%D0%B0%D0%B9) Добрый день.

Такой вопрос - я закрыл трубы к радиаторам (стояки) коробом из гипсокартона. Скажите, в случае протечки этих труб могут быть основания у УК отказаться от возмещения ущерба мне, а в случае затопления соседей снизу, будут ли у них основания требовать от меня компенсации ущерба себе?

Один раз эти трубы уже протекали, но не сильно. Тогда все были дома, поэтому сразу отключили воду по всему дому, потом короб сломали и устранили течь. Серьезных повреждений в квартире не было, но УК отказалась компенсировать даже их, ссылаясь, что стояки закрывать нельзя, а я нарушил это правило, поэтому не сразу заметил коррозию, приведшую в последствии к протечке, и, значит, сам во всем виноват.

Ну и фик с ним, не судиться же из-за короба и нескольких подпорченных ламинатин.

Но что, если случится большая авария, когда никого не будет дома, и будут затоплены несколько этажей? Должна ли УК компенсировать мне стоимость ремонта? И в праве ли соседи потребовать с меня какую-то компенсацию и выиграть дело? Есть ли какие-то пункты в каком-то законе, на которые участники описанной ситуации могут ссылаться при ее возникновении, и в которых прописана ответственность в таких случаях? Живу в РФ, г. Краснодар. В обычных случаях за стояки полностью отвечает УК, но, как я понимаю, в моей ситуации в первую очередь важен факт того, что стояки закрыты в короб из гипсокартона? Спасибо за ответы!","Вы должны осуществлять доступ к стоякам и радиаторам

Ущерб компенсирует тот кто виноват, если батарея в коррозии вы не сообщаете об этом, то это ваша вина

Если сорвало красны, за которые отвечает УК, то вина УК",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/kto-otvechaet-za-ushcherb-ot-protechki-stoyakov-otopleniya-v-kvartire
"Регион: [Россия](/regiony/rossiya) Добрый день!
У меня авто на гарантии. На последнем ТО у автодилера была произведена замена свечей зажигания, которые я купил сам в интернет-магазине ""Озон"" и предоставил дилеру.
К свечам нет сертификата соответствия, а продавец удалился с ""Озон"" (нельзя просмотреть по нему информацию), хотя чек о покупке остался, и наверно узнать данные продавца через техподдержку Озон можно.
Недавно двигатель затроил, на СТО выкрутили одну из свечей, и обнаружили, что у неё разрушился керамический изолятор и осколки осыпались в цилиндр.
Осколки наделали задиров и в целом повредили двигатель. Похоже, что как минимум одна из свечей была бракованной (или подделкой). Теперь предстоит дорогостоящая работа по восстановлению или покупка нового двигателя.
Как поступить в данной ситуации, есть ли возможность как-то компенсировать понесенный ущерб от Озона или продавца?","Вы можете обратиться с иском к продавцу, в процессе рассмотрения дела вы можете провести экспертизу и установить причину разрушения свечи",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/razrushilas-svecha-zazhiganiya-kak-postupit
"Регион: [Россия](/regiony/rossiya) Добрый вечер!
Имею ИП, дела на работе шли не очень и решил предложить своей знакомой, которая также имеет ИП объединиться, точнее мне влиться в ее бизнес. Договорились, что мой вход в ее дело будет равен 5 млн р, а точнее, что я покупаю ее производство, делим обязанности, она привлекает и приводит заказчиков, а я исполняю заказы, отвечаю за производство заказов. Прибыль делим поровну. Вопрос, как нам это все оформить правильно? Идти к нотариусу или к юристу?","Нужно составить договор о совестной деятельности

Договор составляют юристы

Мы также можем разработать договор",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/pokupka-oborudovaniya-dlya-biznesa
"Регион: [Россия](/regiony/rossiya) В Мариупольском суде мне дали справку о том, что дело решение суда о разводе не сохранено (прилагаю фото). Сама 8 лет уже проживаю в г.Брянск. Решение не сохранилось, т.к. после военных действий был пожар. Судя по этой справке, я получается якобы не разведена?! Развод был в 2020 г. У меня осталось только фото в телефоне оригинала решения суда о разводе (это мне бывший муж прислал на вайбер, проживает он в Мариуполе мы особо не общаемся). Что мне теперь делать с этой справкой?, МНЕ ОЧЕНЬ НУЖНО ЭТО РЕШЕНИЕ ИЛИ НЕ ЗНАЮ ЧТО, ЧТО БЫ ПОДАТЬ ЗАЯВЛЕНИЕ НА ПОСОБИЕ ДЛЯ РЕБЁНКА!Изображение: ![](https://xn----dtbrojdkckkfj9k.xn--p1ai/sites/default/files/img-20230420-wa0002.jpg)","Если нет подтверждающих, то вы можете подать иск о расторжении повторно в Брянске",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/v-sude-ne-sohranilos-delo-o-razvode
