prompt,solution
используя перекрестную рифмовку напиши стих про грозу,"Люблю грозу в начале мая,
Когда весенний первый гром,
Как бы резвяся и играя,
Грохочет в небе голубом."
"стих про величие реки невы, кольцевая рифмовка","Глядел я, стоя над Невой,
Как Исаака-великана
Во мгле морозного тумана
Светился купол золотой."
"стих про жизнь и безысходность бытия, используй сплетенную рифму","Вдали от солнца и природы,
Вдали от света и искусства,
Вдали от жизни и любви
Мелькнут твои младые годы,
Живые помертвеют чувства,
Мечты развеются твои."
используя октаву напиши строфу про взросление ребенка и семью,"В шесть лет он был ребенок очень милый
И даже, по ребячеству, шалил;
В двенадцать приобрел он вид унылый
И был хотя хорош, но как-то хил.
Инесса горделиво говорила,
Что метод в нем натуру изменил:
Философ юный, несмотря на годы,
Был тих и скромен, будто от природы.

Признаться вам, доселе склонен я
Не доверять теориям Инессы.
С ее супругом были мы друзья;
Я знаю, очень сложные эксцессы
Рождает неудачная семья,
Когда отец - характером повеса,
А маменька ханжа. Не без причин
В отца выходит склонностями сын!"
"напиши стих про черного мага и тьму, стиль терцина","Когда сгустится тьма вокруг
Ты словно раб предназначенья,
Начертишь кровью ровный круг,

Отбросишь жалкие сомненья.
Войдёшь в него, забыв про страх.
Тебя подхватят тьмы теченья.

Отбросишь тело, - бренный прах.
Ты с теми, кто во тьму шагнули!
Погасли огоньки в глазах.

А где твой дух, а не в аду ли?"
"стих про театр и элегантную женщину, онегинская строфа","Театр уж полон; ложи блещут;
Партер и кресла - все кипит;
В райке нетерпеливо плещут,
И, взвившись, занавес шумит.
Блистательна, полувоздушна,
Смычку волшебному послушна,
Толпою нимф окружена,
Стоит Истомина; она,
Одной ногой касаясь пола,
Другою медленно кружит,
И вдруг прыжок, и вдруг летит,
Летит, как пух из уст Эола;
То стан совьет, то разовьет
И быстрой ножкой ножку бьет."
используя балландную строфу напиши стих про болезнь королевы британии,"Королева Британии тяжко больна,
Дни и ночи ее сочтены.
И позвать исповедников просит она
Из родной, из французской страны.

Но пока из Парижа попов привезешь,
Королеве настанет конец...
И король посылает двенадцать вельмож
Лорда-маршала звать во дворец. "
стих про то что и на русской земле могут рождаться талланты одическая строфа,"О вы, которых ожидает
Отечество от недр своих
И видеть таковых желает,
Каких зовет от стран чужих,
О, ваши дни благословенны!
Дерзайте ныне ободренны
Раченьем вашим показать,
Что может собственных Платонов
И быстрых разумом Невтонов
Российская земля рождать. "
"напиши стихи про то что не стоит обращать на других внимание и делать все как ты считаешь нужным, придерживайся итальянского сонета","Поэт! не дорожи любовию народной,
Восторженных похвал пройдет минутный шум;
Услышишь суд глупца и смех толпы холодной,
Но ты останься тверд, спокоен и угрюм.

Ты царь: живи один. Дорогою свободной
Иди, куда влечет тебя свободный ум,
Усовершенствуя плоды любимых дум,
Не требуя наград за подвиг благородный.

Они в самом тебе. Ты сам свой высший суд;
Всех строже оценить умеешь ты свой труд.
Ты им доволен ли, взыскательный художник?

Доволен? Так пускай толпа его бранит
И плюет на алтарь, где огонь твой горит,
И в детской резвости колеблет твой треножник."
напиши лимерик про то как бабка собралась сжечь внучку,"Непослушную внучку из Йены
Бабка сжечь собралась как полено.
Но заметила тонко:
""А не сжечь ли котенка ?""-
Невозможная внучка из Йены."
лимерик про то как флейтисту заползла в обувь анаконда,"К удалому флейтисту из Конго
Раз в сапог заползла анаконда.
Но настолько отвратно
Он играл, что обратно
Через час уползла анаконда."
"дед любил ходить в 3 шубах, напиши про это лимерик","Теплокровный старик из-под Кобо
Чрезвычайно страдал от озноба
И доху на пуху,
И тулуп на меху
Он носил, чтоб спастись от озноба."
"напиши акростих про лазурный день, чтобы в итоге получилось слово ЛУНА","Лазурный день
Угас, угас.
Ночная тень
Ах! Скрыла нас."
напиши стих про природу используя технику мезостиха,"Абсолютно пустынная местность,
Безымянные темные скалы...
Вечной тенью покрыта окрестность,
Где покрытые мхом перевалы
Да долины имеют дыханье,
Его звук слегка в воздухе разлит...
Жизнь - пустое без смерти страданье,
За страданьем - бессмертие манит...
И не слышно ни строчки, ни слова,
Красота пустоты завлекает,
Лишь притянет - отбросит, и снова
Меня тихо к себе подзывает.
Но в пустыне я чую движенье,
Одинокое, но непростое
По долине немое круженье,
Радость роста чего-то иного.
Солнце светит особенно ярко,
Так торжественно, так вдохновенно...
У горы вырастает фиалка -
Фиолетовая королева.
Холод или тепло - без различья,
Цвет не важен, важней радость роста,
Что бывает в мильонах обличий...
Шаг вперед сделать очень непросто:
Щит незримый - как камень в ограде.
Эх, быть может, все это - напрасно?
Юркий ветер фиалку погладил -
Я увидел, она так прекрасна..."
напиши телестих про канаву,"О, люди! Это вовсе не пустяК:
Нетороплива, даже величавА,
Корабликов бумажных караваН
Несёт, хоть не вода в ней, а отравА,
Природные законы все попраВ,
Обычная вонючая канавА"
смешанный стих про несчастную любовь,"Давно в любви отрады мало:
Без отзыва вздохи, без радости слезы;
Что было сладко - горько стало,
Осыпались розы, рассеялись грезы..."
белый стих про то как молодой человек возвращается из путешествия,"Наступило красно утро
В середине где-то марта,
А по тропочке средь леса
Добрый молодец идет.
Он ходил в далеки страны,
Повидал немало дива
И теперь спешит вот к дому
Через десять целых лет.
Соловьишка песнь выводит,
Счет годам ведет кукушка,
Ну а думы все Еремы
К родной горнице летят..."
белый стих про одиночество,"Сяду я за стол да подумаю:
Как на свете жить одинокому?
Нет у молодца молодой жены,
Нет у молодца друга верного."
напиши пожалуйста белый стих про ночную бурю и дождь,"Во тьме ночной явилась буря;
Сверкал на небе грозный луч;
Гремели громы в чёрных тучах,
И шумный дождь в лесу шумел..."
напиши эпос про прогулки по трамвайным путям и городскую эстетику,"А мы пойдем с тобою, погуляем по трамвайным рельсам,
Посидим на трубах y начала кольцевой дороги.
Hашим теплым ветpом бyдет чёpный дым с тpyбы завода,
Пyтеводною звездою бyдет желтая таpелка светофоpа."
безрифменный стих про наслаждение жизнью,"О том, что ждёт нас, брось размышления,
Прими, как прибыль, день нам дарованный
Судьбой, и не чуждайся друг мой,
Ни хороводов, ни ласк любовных."
"ворон сидит один на ветке, напиши про это хайку","На голой ветке
Ворон сидит одиноко.
Осенний вечер."
танка о тоске по любимому,"На ночную луну
Подняла я свой взор и спросила:
«Милый мой
Отправляется в путь,
О, когда же мы встретимся снова?"
стих про упадок творцов в стиле маяковского,"Господа поэты, неужели не наскучили
пажи, дворцы, любовь, сирени куст вам?
Если такие, как вы, творцы —
мне плевать на всякое искусство."
стих про затфорничество при помощи аккустической рифмы,"Вещи и люди нас
окружают. И те,
и эти терзают глаз.
Лучше жить в темноте."
используя предудурную рифму и напиши стих про любовь и апрель,"Вот девочки — им хочется любви.
Вот мальчики — им хочется в походы.
В апреле изменения погоды
объединяют всех людей с людьми."
"стих про демографическую яму, предударная рифма","В поисках счастья, работы, гражданства
странный обычай в России возник:
детям у нас надоело рождаться, —
верят, что мы проживем и без них."
"стих про дворцовый бунт, используй глубокую рифму","Или, бунт на борту обнаружив,
Из-за пояса рвёт пистолет
Так, что сыплется золото с кружев,
С розоватых брабантских манжет."
"используй дактиль, напиши стих как все вокруг тебя ограничивает","Что же мне делать, певцу и первенцу,
В мире, где наичернейший — сер!
Где вдохновенье хранят, как в термосе!
С этой безмерностью в мире мер?!"
"используй ассонансные рифмы, напиши про поездку и внезапное событие","Я ехал на верхней полке, сопел-грустил об ушедшем счастье,
Практически не держали меня ни ноги, ни тормоза,
Когда, будто взрыв гранаты, возник за окном белоснежный ястреб
Где-то неподалёку от маленькой станции Амазар."
