bugurt,prompt
"ВСЁ   
        НАКОНЕЦ-ТО   
                                 ХОРОШО  
@  
СКАДРИЛ ЕОТ  
                           И СТАЛ УСПЕШЕН  
@  
ЕРОХА   
             ТИХО   
                       ПОДОШЁЛ  
@  
И ИЗВИНИЛСЯ —  
                                 ИБО ГРЕШЕН  
@  
СЫЧА   
            РАЗОРВАН   
                                ГРУСТИ КРУГ  
@  
И ЖИЗНЬ  
                 КРУЖИТСЯ  
                                      В РИТМЕ ВАЛЬСА  
@  
НО СЛЫШИШЬ  
                            БАТИ ГОЛОС  
                                                   ВДРУГ:  
@  
""ВСТАВАЙ, СЫНОК!  
                                    ТЫ  
                                          ОБОСРАЛСЯ!""",
"ТЫ 14-ТИ ЛЕТНЯЯ ТЯН  
@  
11 ВОСЬМИКЛАССНИЦ ИЗ 10-ТИ  
@  
НАТУРАЛЬНАЯ БЛОНДИНКА, БЛЕДНАЯ КОЖА, ТАЛИЯ КАК ВЕТКА, ПУХЛЫЕ ЛЯШКИ, БОЛЬШАЯ ГРУДЬ, МИЛОЕ ЛИЧИКО, ГОЛУБЫЕ ГЛАЗА  
@  
ВСЮ ЖИЗНЬ ПОСВЯЩАЕШЬ РИСОВАНИЮ, ПЛАСТИЧЕСКОЙ АНАТОМИИ, ИСТОРИИ ИСКУССТВ   
@  
ЛЕГЧЕ СКАЗАТЬ ЧЕГО ТЫ НЕ УМЕЕШЬ ДЕЛАТЬ ЧЕМ ЧТО УМЕЕШЬ  
@  
В ШКОЛЕ УЧИШЬСЯ НА ОТЛИЧНО, УЧАСТВУЕШЬ ВО ВСЕХ МЕРОПРИЯТИЯХ, СТАРОСТА  
@  
В КЛАССЕ ТЕБЯ ВСЕ ЛЮБЯТ ПОТОМУ ЧТО ВСЕГДА ПОМОГАЕШЬ НА КОНТРОШАХ И ДАЁШЬ СПИСАТЬ ДЗ  
@  
ВСЕ УМИЛЯЮТСЯ ТВОЕЙ ДОБРОДУШНОСТИ, ОТКРЫТОСТИ И ИСКРЕННОСТИ   
@  
НО ТВОЙ СПИСОК ХРОНИЧЕСКИХ БОЛЕЗНЕЙ И ТАБЛЕТОК КОТОРЫЕ НУЖНО ПИТЬ ДЛИННЕЕ ЧЕМ У ТВОЕЙ БАБКИ-СРАКИ КОТОРОЙ 88 ЛЕТ  
@   
ТЫ ЗАТЮКАННАЯ И НАПУГАННАЯ, ПОТОМУ ЧТО ТВОЙ LE-BATYA НИКОГДА НЕ ВЫПУСКАЛ ТЕБЯ ИЗ ДОМУ И БИЛ ЗА МАЛЕЙШИЕ ПРОЁБЫ  
@  
ТЫ ОДИНОКАЯ  
@   
УЖЕ НЕ ПОМНИШЬ КОГДА В ПОСЛЕДНИЙ РАЗ СПАЛА БОЛЬШЕ ТРЁХ ЧАСОВ  
@  
КАЖДУЮ НОЧЬ ТЫ ЛОВИШЬ СУДОРОГИ ПО ВСЕМУ ТЕЛУ И ПАНИЧЕСКИЕ АТАКИ  
@  
НИ С КЕМ КРОМЕ СВОЙ СОБАКИ НЕ ГУЛЯЕШЬ  
@  
А ВСЁ ЧЕГО ТЫ ХОЧЕШЬ ЭТО ЧТОБЫ ПОЗАБОТИЛИСЬ О ТЕБЕ, А НЕ ТЫ О КОМ-ТО  
@  
И ВОТ В ОДИН ДЕНЬ ТВОЯ КЛАСУХА ГОВОРИТ «ШУРУЙ НА СОБРАНИЕ САМОУПРАВЛЕНИЯ»  
@   
ПРИХОДИШЬ, ТРЯСЁШЬСЯ ОТ СТРАХА ПОТОМУ ЧТО КРУГОМ ДОХУЯ НЕЗНАКОМЫХ ЛЮДЕЙ, САДИШЬСЯ ПОДАЛЬШЕ ОТ ИХ СКОПЛЕНИЯ  
@  
ОСМАТРИВАЕШЬСЯ И ВИДИШЬ ЕГО  
@  
СИМПАТИШНОЕ ЛИЧИКО, ДЛИННЫЕ ВОЛОСЫ, НАКАЧАНЫЙ, В БЕРЦАХ  
@  
ЧТО-ТО ОБСУЖДАЕТ СО СВОИМ СТРЁМНЫМ КОРЕШЕМ  
@  
ИЗ ТВОИХ УСТ ВЫРЫВАЕТСЯ «КЛАСНО ВЫГЛЯДИШЬ»  
@  
ПЕРЕСПРАШИВАЕТ БАРХАТНЫМ ГОЛОСОМ «ЧТО ТЫ СКАЗАЛА? Я НЕ РАССЛЫШАЛ»  
@  
СЕРДЦЕ КОЛОТИТСЯ ТАК КАК БУДТО ТЫ ТОЛЬКО ЧТО УБЕГАЛА ОТ ДВУХ ВОЛКОДАВОВ  
@  
«КЛАСНО ВЫГЛЯДИШЬ»  
@  
«А. СПАСИБО. ТЫ ТОЖЕ»  
@  
ИСТЕРИКА, НЕ МОЖЕШЬ ДЫШАТЬ  
@   
ЕДЕШЬ ДОМОЙ ПОСЛЕ УРОКОВ  
@  
ВНЕЗАПНО ТЕБЯ КТО-ТО ХВАТАЕТ ЗА ПЛЕЧЁ   
@  
ОН  
@  
ЗАВОДИТЕ РАЗГОВОР, В ПАНИКЕ НЕ ЗНАЯ ЧТО РАССКАЗАТЬ О СЕБЕ НАЧИНАЕШЬ РАССКАЗЫВАТЬ О ТОМ КАКОЙ ХЕНТАЙ ЛЮБИШЬ  
@  
ПРОШЛО ДВЕ НЕДЕЛИ  
@  
ВЫ ЗДОРОВО СБЛИЗИЛИСЬ, ОН КАЖДЫЙ ДЕНЬ ПРИХОДИТ В ТАКУЮ ЖЕ РАНЬ КАК И ТЫ ЧТОБЫ ПРОСТО ПОСИДЕТЬ С ТОБОЙ И ПООБНИМАТЬСЯ  
@   
СПРАШИВАЕТ У ТЕБЯ КАК ДЕЛА, ИНТЕРЕСУЕТСЯ ТВОИМ САМОЧУВСТВИЕМ, ВОЛНУЕТСЯ ЗА ТЕБЯ  
@  
ДУМАЕШЬ ЧТО УМЕРЛА ОТ СВОЕГО ХРОНИЧЕСКОГО ЗАБОЛЕВАНИЯ И ПОПАЛА В РАЙ  
@  
НО ЭТО НЕ ТАК  
@  
ОН ИСПОЛНЯЕТ ТВОИ МЕЧТЫ ОДНУ ЗА ДРУГОЙ  
@  
ДАРИТ ТЕБЕ ПЕРВЫЙ ПОЦЕЛУЙ  
@  
НЕ МОЖЕТ БЫТЬ  
@  
КАЖДЫЙ ДЕНЬ ОН СО СВОИМ КОРЕШЕМ ХОДИТ К ТВОЕМУ КАБИНЕТУ И ТРАВИТ АНЕКИ   
@  
ПОНИМАЕШЬ ЧТО ВЛЮБИЛАСЬ В НЕГО  
@  
НО У НЕГО ДЕВУШКА  
@  
ТЫ С НИМ НЕ ДЛЯ ОТНОШЕНИЙ, ТАК ЧТО НЕ ПРОБЛЕМА  
@  
ПРОХОДИТ ВРЕМЯ  
@  
ВЫ УЖЕ ТРИ МЕСЯЦА НЕ ВИДЕЛИСЬ ПОТОМУ ЧТО В РАЗНЫХ СТРАНАХ  
@  
ОН РАССТАЛСЯ СО СВОЕЙ ДЕВУШКОЙ  
@  
НЕ ПОНИМАЕШЬ КАК ТЫ МОЖЕШЬ ЖИТЬ БЕЗ ЕГО КАСАНИЙ  
@  
ПЕРВЫЙ МЕСЯЦ ЛЕТА  
@  
ОН ВЕРНУЛСЯ  
@  
КАЖЕТСЯ, ЧТО НЕТ БОЛЬШЕГО СЧАСТЬЯ ЧЕМ БЫТЬ РЯДОМ   
@  
ОН ДАЖЕ СТАЛ ГОВОРИТЬ ЧТО ЛЮБИТ ТЕБЯ  
@  
ВЫ В ОТНОШЕНИЯХ  
@  
КАЖДЫЙ ДЕНЬ ОН ЕЗДИТ К ТЕБЕ НА ОКРАИНУ ГОРОДА ЧТОБЫ УВИДЕТЬСЯ И ПОЛЕЖАТЬ ВМЕСТЕ ШЕСТЬ ЧАСОВ К РЯДУ  
@  
ТЫ ЗАЩИЩАЕШЬ ДИПЛОМ В ХУДОЖКЕ  
@  
ХВАЛИТ ТЕБЯ, ГОВОРИТ ЧТО ТЫ УМНИЦА  
@  
ОПЯТЬ ДУМАЕШЬ ЧТО ТЫ ВО СНЕ  
@  
НА СЛЕДУЮЩИЙ ЖЕ ДЕНЬ ЛИШАЕШЬСЯ С НИМ ДЕВСТВЕННОСТИ  
@  
ДОВОЛЬНЫЕ  
@  
ЖИВЁТЕ ДУША В ДУШУ  
@  
ЛЮБИТЕ ДРУГ ДРУГА   
@  
КАЖЕТСЯ, ЧТО БОЛЬШЕГО СЧАСТЬЯ БЫТЬ НЕ МОЖЕТ  
@  
ОН РАЗОБРАЛСЯ СО ВСЕМИ ТВОИМИ ЗАГОНАМИ, ИСПОЛНИЛ КУЧУ МЕЧТ, ОКУТАЛ ЗАБОТОЙ И ВНИМАНИЕМ, ПОЛЮБИЛ ТЕБЯ, ОСВОБОДИЛ ОТ СТРАХА ЧТО СКОВЫВАЛ ТЕБЯ  
@  
ЧУВСТВУЕШЬ ЧТО ЧТО-ТО НЕ ТАК  
@  
СТАРАЕШЬСЯ ПОВЗРОСЛЕТЬ ЧТОБЫ ОН ГОРДИЛСЯ ТОБОЙ И ХОТЕЛ БЫТЬ РЯДОМ ВСЁ БОЛЬШЕ  
@  
УБИВАЕШЬСЯ  
@  
ОСЕНЬ  
@  
«ИЗВИНИ МИЛАЯ, Я БОЛЬШЕ НИЧЕГО К ТЕБЕ НЕ ЧУВСТВУЮ»  
@  
ПАНИКА  
@   
НЕ СПИШЬ, НЕ ЕШЬ, ДАЖЕ В ХУДОЖКУ НЕ ХОДИШЬ  
@  
А ПОХУЙ  
@  
ОРЁШЬ УТРОМ ПЕСНЮ “I DONT LOVE YOU” ГРУППЫ MCR  
@  
А НОЧЬЮ РЫДАЕШЬ ПОТОМУ ЧТО ВСЁ ЕЩЁ ЛЮБИШЬ ЕГО",
"РОДИЛИ РЕБЁНКА  
@  
НАЗВАЛИ НИКИТОЙ  
@  
ХОТЯ БЫ НЕ СТАСОМ  
@   
#Антибугурт",
"РЕШИЛ   
 ТРЕНИРОВКИ   
 ХОТЬ РАЗ ПОСЕТИТЬ   
@  
ВЕДЬ СПОРТ   
 УКРЕПЛЯЕТ   
 ТЕЛО   
@  
ГОТОВ НА ВСЕ СТО —   
 ЗАХЛЕСТНУЛА ПРЫТЬ   
@  
В КАЧАЛКУ  
 ШАГАЕШЬ   
 СМЕЛО   
@  
ЗАШЁЛ В ЗАЛ ДЛЯ СИЛЬНЫХ —   
 ГДЕ ШТАНГИ ГНУТ   
@  
И ВДРУГ  
 ЗА СПИНОЮ   
 СЛЫШИШЬ   
@  
""ДРУЖОК-ПИРОЖОК,   
 КОЖЕВЕННЫЙ КЛУБ   
@  
ДВУМЯ   
 ЭТАЖАМИ   
 НИЖЕ""",
"УСТАНОВИЛ СЕБЕ ИНФРАКРАСНЫЕ ИМПЛАНТЫ НА ГЛАЗА  
@  
ТЕПЕРЬ НЕ МОЖЕШЬ СПАТЬ НОРМАЛЬНО  
@  
ПОСТАВИЛ ПНЕВМАТИКУ НА РУКИ  
@  
ЗАГЛЮЧИВШАЯ ЭЛЕКТРОНИКА ПРЕВРАТИЛА ТВОИ КУЛАКИ В КРОВАВОЕ МЕССИВО  
@  
ВЖИВИЛ РЕССОРЫ В НОГИ  
@  
ПРУЖИНЫ СЖАЛИСЬ И ЗАКЛИНИЛИ, ТЕПЕРЬ ХОДИШЬ ТАК, СЛОВНО В ОЧКЕ БУТЫЛКА  
@  
ПРИШИЛ СЕБЕ КИБЕРЧЛЕН  
@  
ПОДХВАТИЛ КИБЕРХЛАМИДОЗ ПРИ ПОДКЛЮЧЕНИИ К ОТКРЫТОЙ СЕТИ  
@  
ЗАПОЛУЧИЛ АКСЕЛЕРАТОР МОЗГА  
@  
ОПЕРАЦИОННАЯ СИСТЕМА SychOS ЗАГЛЮЧИЛА ИЗ-ЗА НЕСОВМЕСТИМЫХ ДРАЙВЕРОВ, ИЗ-ЗА ЧЕГО НЕПРОИЗВОЛЬНО СРЁШЬ, КОГДА ЗАДУМЫВАЕШЬСЯ  
@  
АРМИРОВАЛ КОСТИ ТИТАНОМ  
@  
ПРОВАЛИЛСЯ В ДИВАН  
@  
ИМПЛАНТИРОВАЛ НАНОБОТОВ В ТЕЛО  
@  
КАЖДЫЙ ПОХОД В ТУАЛЕТ ОТМЕЧАЕТСЯ ПОРВАННЫМ ОЧКОМ ОТ ЭТИХ МЕЛКИХ ТВАРЕЙ  
@  
ВМЕСТО ПАЛЬЦА У ТЕБЯ ЗАЖИГАЛКА/ОТМЫЧКА/МУЛЬТИТУЛ  
@  
ВСЕ КАРМАНЫ РВУТСЯ ИЗ-ЗА ПРИВЫЧКИ ДЕРЖАТЬ РУКИ В НИХ  
@  
ЗАМЕНИЛ ЖОПУ НА РЕАКТИВНОЕ СОПЛО  
@  
НАКОНЕЦ-ТО ДОВОЛЕН",
"— СЫНА-ОДИНОДИНОДИНОДИНА! СГОНЯЙ ЗА ИМПЛАНТАМИ ПОКА ВСЕ НЕ РАЗОБРАЛИ! НЕЧА В ВИРТУАЛЬНОСТИ СВОЕЙ СИДЕТЬ!  
@  
ВЗДЫХАЯ, САДИШЬСЯ НА БАТИН ВИБРОЖИГУЛЬ И НАПРАВЛЯЕШЬСЯ НА МЕСТО РАЗДАЧИ ИМПЛАНТОВ, ПО ПУТИ СОБИРАЯ ВСЕ ВОЗДУШНЫЕ ЯМЫ  
@  
НА МЕСТЕ ОКАЗЫВАЕТСЯ ЧТО ВСЕ ИМПЛАНТЫ УЖЕ РАЗОБРАНЫ  
@  
СТАРЫЙ КИБОРГ ПО ПЕРЕРАБОТКЕ ГОРЮЧЕГО PETROV-inch СТЫБЗИЛ АВТОРЕАНИМАЦИЮ ПЕЧЕНИ  
@  
БАБКИ РАЗОБРАЛИ КИБЕРГЛАЗА С АВТООПРЕДЕЛЕНИЕМ ПРОСТИТУТОК  
@  
ЕРОХ-IN ЕХИДНО ПОСМЕИВАЕТСЯ, ЗАБРАВ У ТЕБЯ ИЗ ПОД НОСА ЕДИНСТВЕННЫЙ РЕТРАНСЛЯТОР 2D-ЕОТ  
@  
ЖИДКО ПУКНУВ МОТОРНЫМ МАСЛОМ, ВОЗВРАЩАЕШЬСЯ ДОМОЙ НИ С ЧЕМ  
@  
— СЫНА-СКАЙНЕТИНА, НУ ЧТО Ж ТЫ У МЕНЯ ТАКОЙ НЕПУТЁВЫЙ? ВОН ТВОЙ БАТЯ РУКИ-СПИННИНГИ ЗАБРАТЬ УСПЕЛ, ЗАВТРА С МУЖИКАМИ НА КИБЕРСОМА ПОЕДЕТ, А ТЫ, ЭХ...  
@  
ВНЕЗАПНО ВКЛЮЧИВШИЙСЯ ЖОПНО-РАКЕТНЫЙ ИМПЛАНТ ОТПРАВЛЯЕТ ТЕБЯ НА ВНЕПЛАНОВУЮ КОЛОНИЗАЦИЮ МАРСА",
"ВОЖДЬ НАШЕГО ПЛЕМЯ РЕЧЬ НАМ ТОЛКАТЬ  
@  
ПРО НАШ ИНТЕРЕСНЫЙ СТРОЕНЬЕ  
@  
НО ТУТ ПТЕРОДАКТИЛЬ К НАМ ПРИЛЕТАТЬ  
СДЕЛАТЬ ИЗ МОЯ ДРУГ ВАРЕНЬЕ  
@  
И ТУТ НАШЕ ПЛЕМЯ ИЗ ПЕЩЕРЫ БЕЖАТЬ  
ВОЖДЬ БЫТЬ ОЧЕНЬ УГРЮМ  
@  
МОЯ СОПЛЕМЕННИКИ, НАДО БЕЖАТЬ  
ДЕЛАТЬ ПТИЧКА БУМ-БУМ  
@  
ДРУЗЬЯ УМИРАТЬ, ВОЖДЬ УМИРАТЬ, БЫТЬ. Я СОВСЕМ ОДИН  
@  
И Я СЕЙЧАС НА СКАЛЕ ВСЁ ПИСАТЬ  
С ОБОРВАННЫЙ ТИГР ШТАНИН  
@  
МОЯ НЕ МОЧЬ УЖЕ ДАЛЬШЕ ПИСАТЬ  
МОЯ СПАСАТЬ СВОЯ ЖОПА  
@  
МЫ В ДЖУНГЛЯ ДИЧАЙШИЙ ВСЕ ВЫЖИВАТЬ  
С ДРУГОМ ЛЕЖАТЬ В ЗЕМЛЕ ОБА",
"РОДИЛИ РЕБЁНКА   
@   
НАЗВАЛИ НИКИТОЙ  
@  
А Я НИКИТА, ПО ПАСПОРТУ ИННОКЕНТИЙ   
@   
А Я НИКИТА, ДОЮ КОРОВУ РТОМ   
@   
А Я НИКИТА, ЛЮБИМЫЙ ТАНЕЦ ЧА-ЧА-ЧА   
@   
А Я НИКИТА, КАКАЮ В ПИСУАР   
@   
А Я НИКИТА, ТОРЧУ КОСАРЬ УКУПНИКУ   
@   
А Я НИКИТА, ЛЮБИМАЯ ПОЗА 68   
@   
А Я НИКИТА, КЛЕЮ ТЁЛОЧЕК В ВИКИПЕДИИ",
"МУЖИК, ОТОШЕДШИЙ ПО ДЕЛУ НУЖДЫ,  
У ДЕРЕВА ВСТАЛ ПОЛУБОКОМ.  
ВТОРОЙ ПОДОШЕЛ, ПОДСМОТРЕВ НЕНАРОКОМ,  
РЕШИЛ ИЗВИНИТЬСЯ, НЕ СЕЯТЬ ВРАЖДЫ:  
@  
–ПРОШУ Я ПРОЩЕНИЯ ЗА ВНЕЗАПНЫЙ ВИЗИТ!  
СКАЗАЛ ПОДОШЕДШИЙ С УХМЫЛКОЙ.  
ВТОРОЙ ЖЕ УВЕРЕННЫЙ БЫЛ, ДАЖЕ ПЫЛКИЙ:  
–С ЧЕГО БЫ ВАМ ВДРУГ ПРОЩЕНИЯ ПРОСИТЬ?  
@  
ОТЕЦ МОЙ СКАЗАЛ, ЧТО В СТЕСНЕНЬЯХ НЕТ ПРОКУ,  
ОСОБЕННО ЕСЛИ РАЗМЕР ""ИХ"" ВЕЛИК.  
ВТОРОЙ ЖЕ ОТВЕТИЛ: –ОТЕЦ ВАШ–МУЖИК!  
И НЕ СТАЛ БЫ БОЛТАТЬ ОН БЕЗ ТОЛКУ.  
@  
–А ВООБЩЕ, МОЙ ""ПРИЯТЕЛЬ"" И БОЛЬШЕ МОГ СТАТЬ,  
НО НУЖНО УМЕТЬ ПОСТАРАТЬСЯ,  
ВЕДЬ ТАКЖЕ И КОЖА МОЖЕТ ПОРВАТЬСЯ,  
ЕСЛИ К ДЕЛУ ПОДОЙТИ НЕ ПОД СТАТЬ.  
@  
—А МОЙ ОТЕЦ ТАКЖЕ ДАВАЛ МНЕ СОВЕТ,  
ЧТОБ МОМЕНТА СЕГО НЕ СЛУЧАЛОСЬ—  
ИСПОЛЬЗОВАТЬ РОТ, ЧТОБЫ КОЖА НЕ РВАЛАСЬ,–  
ВТОРОЙ ЖЕ ГЛАГОЛИЛ В ОТВЕТ.  
@  
–ПОКАЖЕШЬ, КАК НАДО? –ВЫМОЛВИЛ ПЕРВЫЙ.  
–Я ТОЛЬКО И РАД! – ВМИГ ОТВЕТИЛ ВТОРОЙ.  
И, С ХРУСТОМ ВЕТВЕЙ ПОД ТЯЖЕЛОЙ НОГОЙ,  
СДЕЛАЛ НАВСТРЕЧУ ШАГ ЕМУ ВЕРНЫЙ.",
"ТЫ СЫЧ 12 ЛВЛ  
@  
НАДЕЕШЬСЯ, ЧТО В БУДУЩЕМ ТЫ БУДЕШЬ МЕГА УСПЕШНЫМ/ПОПУЛЯРНЫМ/ИЗВЕСТНЫМ И БУДЕШЬ ЗАРАБАТЫВАТЬ МНОГО ДЕНЕГ  
@  
ПРОШЛО 10 ЛЕТ  
@  
ТЫ СМОТРИШЬ ""КАК ВАРИТЬ МАКАРОНЫ""",
"ЛЕКТОР РУСКОГО ЯЗЫКА  
@  
АБДУЛАМЯН КРЫЖЕМЕЛЕК АУКУКУКУВС  
@  
ЛЕКТОР МАТЕМАТИКИ  
@  
ПО ОБРАЗОВАНИЮ ФИЛОСРФ-НИГИЛИСТ-АНАРХО-ПРИМИТИВИСТ  
@  
ЛЕКТОР ИСТОРИИ  
@  
УТВЕРЖДАЕТ ЧТО ВТОРАЯ МИРОВАЯ НАЧАЛАСЬ В 41 И ТО ЧТО ОЛЬГА КРЕСТИЛА РУСЬ  
@  
ПО ОБРАЗОВАНИЮ ТЕХНАРЬ-ЕБАРЬ  
@  
ЛЕКТОР ОБЩЕСТВА  
@  
ЗАБЫЛ ПРО ТО ЧТО ОН ЛЕКТОР И НЕ ЛЮБИТ ОБЩЕСТВО  
@  
ЛЕКТОР АНГЛИЙСКОГО  
@  
ИВАН ИВАНОВИЧ ИВАНОВ  
@  
ШО ХОРОРИШЬ",
"ПОЗНАКОМИЛСЯ С ТЯН В ОНЛАЙН ИГРЕ  
@  
С КАЙФОМ ПОИГРАЛИ, ПОСМЕЯЛИСЬ  
@  
ДОГОВОРИЛИСЬ ПОИГРАТЬ ЗАВТРА  
@  
ТЯН СКИНУЛА СВОЙ ДИСКОРД  
@  
УЖЕ ПРЕДСТАВЛЯЕШЬ КАК ЗАВТРА ЛАМПОВО ПОМУРЧИТЕ В ДИСКОРДИКЕ  
@  
НА СЛЕДУЮЩИЙ ДЕНЬ ТЯН В ИГРУ НЕ ЗАХОДИТ, В ДИСКОРД ТОЖЕ  
@  
И НА СЛЕДУЮЩИЙ И ЧЕРЕЗ МЕСЯЦ  
@  
ПОНИМАЕШЬ ЧТО ТЯН ПРИШЛОСЬ ДРОПНУТЬ СВОЙ АККАУНТ В ИГРЕ И АККАУНТ В ДИСКОРДЕ, ЛИШЬ БЫ БОЛЬШЕ НЕ ПЕРЕСЕКАТЬСЯ С ТОБОЙ",
"4 МИНУТЫ И АЛКОГОЛИК БРОСИТ ПИТЬ: РЕЦЕПТ БАБКИ ОЛИ. ЗАМЕШАЙТЕ В СТАКАНЕ...  
@  
ЧЕМ РАСТВОРИТЬ ШЕЙНЫЙ ОСТЕОХОНДРОЗ И ГОРБИК? ОКАЗАЛОСЬ ПОМОЖЕТ САМЫЙ ОБЫЧНЫЙ...  
@  
ПОДОЛОГ ОТКРЫЛ ТАЙНУ, КАК ВЫЖИТЬ ГРИБОК НОГТЕЙ С КОРНЕМ! НА 3 МИНУТЫ НАМАЖЬТЕ СОВЕТСКОЙ...  
@  
ЛИЦО БУДЕТ КАК У МОЛОДЕНЬКОЙ ДЕВЧУШКИ, ЕСЛИ МАЗАТЬ ЕГО СМЕСЬЮ ИЗ...  
@  
ГРИБЫ ПРУТ ИЗ ГОРШКОВ ДОМА НА ПОДОКОННИКЕ! САЖАЮ БОРОВИЧКИ И ЛИСИЧКИ! В ГОРШОК СЫПЛЮ НАКЛАДЫВАЮ...  
@  
ТАРЕЛКА БОЛЬШЕ НЕ НУЖНА! НАРОДНЫЙ МЕТОД ПОДКЛЮЧИТЬ 300 КАНАЛОВ БЕСПЛАТНО, ВМЕСТО АНТЕННЫ ВОТКНИТЕ...  
@  
ЭТО УБИВАЕТ КАТАРАКТУ И ГЛАУКОМУ ЗА 2 ДНЯ И ВОССТАНАВЛИВАЕТ ЗРЕНИЕ НА 98% ДАЖЕ В 80 ЛЕТ! СМОЧИТЕ ПЕРЕД СНОМ...  
@  
СЛУХОВОЙ АППАРАТ ВАМ НЕ ПОНАДОБИТСЯ, ПОТОМУ ЧТО СЛУХ ВЕРНЁТСЯ ЗА 2 ДНЯ, ЕСЛИ НА НОЧЬ ПРИКЛАДЫВАТЬ...  
@  
ПРОСТОЙ СПОСОБ УВЕЛИЧИТЬ ЧЛЕН НАВСЕГДА И ВЕРНУТЬ ЭРЕКЦИЮ 18-ЛЕТНЕГО! ПОПРОБУЙ ПЕРЕД СЕКСОМ...  
@  
БОЛИ В КОЛЕНЯХ БЫСТРО ПРОЙДУТ, А ХРЯЩИ БУДУТ КАК В 20 ЛЕТ, ПРОСТО ПРИМОТАЙТЕ...  
@  
ВЕСИШЬ 81? А БУДЕШЬ 51! ПОХУДЕНИЕ ДЛЯ ЛЕНИВЫХ! ПЕЙТЕ 1 КИСЛУЮ ТАБЛЕТКУ НА НОЧЬ! ПРОДАЁТСЯ В КАЖДОЙ АПТЕКЕ...  
@  
ВАШИ СУСТАВЫ БУДУТ КАК В МОЛОДОСТИ, ДАЖЕ ЕСЛИ ВАМ УЖЕ ЗА 80! ЭТО РАСТЕНИЕ ТВОРИТ ЧУДЕСА...  
@  
ВСКРЫТИЕ ПОКАЗАЛО ПРИЧИНУ СМЕРТИ МОИСЕЕВА! ПРАВДА УЖАСАЕТ - ЕГО СЕРДЦЕ И СОСУДЫ БЫЛИ...",
"ТЫ ГЕЙМ (ГЕЙ) МАСТЕР  
@  
КОЕ-КАК СОБРАЛ КОМАНДУ ЧТО БЫ ВЕСЕЛО ПРОВЕСТИ ВРЕМЯ В НАСТОЛКАХ  
@   
ЗАВОДИШЬ ПАТИ В ПЕЩЕРУ ПАУКА АРКАДИЯ  
@  
ЕХИДНО ПРЕДСТАВЛЯЕШЬ КАК УСТРОИШЬ ЛОВУШКУ ИГРОКАМ С ОГРОМНЫМ ПАУКОМ ФИШКА КОТОРОГО ЛЕЖИТ НА СТОЛЕ УЖЕ 2 ЧАСА  
@  
ЖРЕЦ ТРАП ПОДЖИГАЕТ ВСЮ ПАУТИНУ В ПЕЩЕРЕ  
@  
ЕДИНСТВЕННЫЙ ТАНК В КОМАНДЕ ОПЯТЬ НАХОДИТСЯ ДАЛЬШЕ ВСЕХ ОТ ПРОТИВНИКА   
@  
НЕВНИМАТЕЛЬНЫЙ ВОЛШЕБНИК ЖДЕТ КОГДА ПОЛУЧИТ ОГНЕНЫЙ ШАР ЧТО БЫ КИНУТЬ ЕГО СЕБЕ ПОД НОГИ  
@  
ПЛУТ ПЫТАЕТСЯ НАЙТИ ЛУТ В ТРУПЕ КРЫСЫ  
@   
ГОРЯЩИЙ ПАУК АРКАДИЙ НА КОТОРОГО ПОПЫТАЛИСЬ ИСПОЛЬЗОВАТЬ ЗАКЛИНАНИЯ СВЕТА И РАЗРУШЕНИЯ НЕЖИТИ В СОЛО ПРАКТИЧЕСКИ ПОЛНОСТЬЮ РАСКИДЫВАЕТ ВСЮ ПАТИ  
@   
КАК ТЫ И ПЛАНИРОВАЛ С САМОГО НАЧАЛА",
